DATE,TYPE,SOFTSWITCHNAME,GW,ROUTENAME,ROUTETYPE,DESC,DPC,CIRCUITINSTALLED,CIRCUITAVAILABLE,CICLOADSHARE,SEIZURE,ANSWER,ASR,PEAKERL,AVERAGEPEAKERL,PEAKTIME,BIDS,LOSTBIDS,CONGESTTION,DURALSEIZE
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,DIALOG_ITFS,International , DIALOG_ITFS,0_92_1,11,11,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,DIALOG_ITFS,International , DIALOG_ITFS,0_92_1,11,11,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,DIALOG_ITFS,International , DIALOG_ITFS,0_92_1,11,11,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,DELHI_SONUS,International , 921-TCL-DELHI_SONUS,4_9_7,310,310,0.323%,2171,68,3.132%,1.019,0.003,09:00-10:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,DELHI_SONUS,International , 921-TCL-DELHI_SONUS,4_9_7,310,310,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,DELHI_SONUS,International , 921-TCL-DELHI_SONUS,4_9_7,310,310,0.323%,2171,68,3.132%,1.019,0.003,09:00-10:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,SLT-ISC4,International , 148-SLT-ISC4,0_13_7,123,122,0.225%,561,241,42.959%,2.310,0.019,15:00-16:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,SLT-ISC4,International , 148-SLT-ISC4,0_13_7,123,122,0.595%,1483,27,1.821%,0.822,0.007,19:00-20:00,1483,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,SLT-ISC4,International , 148-SLT-ISC4,0_13_7,123,122,0.820%,2044,268,13.112%,2.746,0.023,14:00-15:00,1483,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,DILOG Incoming,International,135-DILOG Incoming,0_92_1,186,184,50.000%,144545,38258,26.468%,174.426,0.948,20:00-21:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,DILOG Incoming,International,135-DILOG Incoming,0_92_1,186,184,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,DILOG Incoming,International,135-DILOG Incoming,0_92_1,186,184,50.000%,144545,38258,26.468%,174.426,0.948,20:00-21:00,0,0,0.000%,50
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,HUTCH_LNS,International , 156-HUTCH_LNS,4_190_4,31,31,0.000%,32,32,100.000%,1.997,0.064,12:00-13:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,HUTCH_LNS,International , 156-HUTCH_LNS,4_190_4,31,31,0.000%,0,0,0.000%,0.000,0.000,00:00-01:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,HUTCH_LNS,International , 156-HUTCH_LNS,4_190_4,31,31,0.000%,32,32,100.000%,1.997,0.064,12:00-13:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,SINGAPORE_SONUS_LNS,International , 920-Singapore_Sonus_LNS,5_49_2,20,20,0.000%,1,1,100.000%,0.057,0.003,12:00-13:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,SINGAPORE_SONUS_LNS,International , 920-Singapore_Sonus_LNS,5_49_2,20,20,0.000%,32,32,100.000%,1.997,0.100,12:00-13:00,32,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,SINGAPORE_SONUS_LNS,International , 920-Singapore_Sonus_LNS,5_49_2,20,20,0.000%,33,33,100.000%,2.054,0.103,12:00-13:00,32,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,,919,International , 919-CTLNS,,0,0,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,,919,International , 919-CTLNS,,0,0,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,,919,International , 919-CTLNS,,0,0,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,SINGAPORE_SONUS_ISDN,International , 918-SINGAPORE_SONUS_ISDN,5_49_2,6,6,0.000%,1,0,0.000%,0.000,0.000,12:00-13:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,SINGAPORE_SONUS_ISDN,International , 918-SINGAPORE_SONUS_ISDN,5_49_2,6,6,0.000%,847,59,6.966%,0.374,0.062,18:00-19:00,847,0,0.000%,0
07/08/2015,BW,SRI_LANKA_SS,MSG_lanka,SINGAPORE_SONUS_ISDN,International , 918-SINGAPORE_SONUS_ISDN,5_49_2,6,6,0.000%,848,59,6.958%,0.374,0.062,18:00-19:00,847,0,0.000%,0
07/08/2015,IC,SRI_LANKA_SS,MSG_lanka,MOBITEL_ISDN,International , 129-MOBITEL_ISDN,1_119_2,31,31,0.000%,863,59,6.837%,0.374,0.012,18:00-19:00,0,0,0.000%,0
07/08/2015,OG,SRI_LANKA_SS,MSG_lanka,MOBITEL_ISDN,International , 129-MOBITEL_ISDN,1_119_2,31,31,0.000%,0,0,0.000%,0.000,0.000,21:00-22:00,0,0,0.000%,0
