DATE,SOFTSWITCHNAME,MODULE,CALLATTEMPTS,CAPS,AVERAGE-TRAFFIC(ERLANG),PROCESSOR-LOAD(%)
07/08/2015,SRI_LANKA_SS,13,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,12,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,11,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,10,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,9,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,8,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,7,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,6,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,5,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,4,208788,2.417,90.960,2
07/08/2015,SRI_LANKA_SS,3,281434,3.257,108.296,2
07/08/2015,SRI_LANKA_SS,2,0,0.000,0.000,0
07/08/2015,SRI_LANKA_SS,1,878381,10.166,325.418,4
07/08/2015,SRI_LANKA_SS,0,0,0.000,0.000,1
07/08/2015,Chennai_SS,13,105923,1.226,66.738,2
07/08/2015,Chennai_SS,12,126886,1.469,91.965,3
07/08/2015,Chennai_SS,11,265955,3.078,230.961,5
07/08/2015,Chennai_SS,10,301122,3.485,181.255,2
07/08/2015,Chennai_SS,9,190424,2.204,76.786,2
07/08/2015,Chennai_SS,8,208023,2.408,129.264,2
07/08/2015,Chennai_SS,7,137348,1.590,53.386,2
07/08/2015,Chennai_SS,4,90902,1.052,39.818,2
07/08/2015,Chennai_SS,3,169780,1.965,51.181,4
07/08/2015,Chennai_SS,2,495383,5.734,317.384,8
07/08/2015,Chennai_SS,1,226329,2.620,164.428,3
07/08/2015,Chennai_SS,0,0,0.000,0.000,8
07/08/2015,Chennai_SS,53,279593,3.236,111.106,6
07/08/2015,Chennai_SS,52,150138,1.738,72.685,1
07/08/2015,Chennai_SS,51,100689,1.165,42.305,1
07/08/2015,Chennai_SS,50,132667,1.535,64.657,2
07/08/2015,Chennai_SS,49,333669,3.862,186.015,7
07/08/2015,Chennai_SS,48,73651,0.852,34.904,3
07/08/2015,Chennai_SS,47,79236,0.917,28.954,2
07/08/2015,Chennai_SS,46,209003,2.419,118.014,2
07/08/2015,Chennai_SS,45,153578,1.778,62.320,1
07/08/2015,Chennai_SS,44,227729,2.636,107.703,1
07/08/2015,Chennai_SS,43,199713,2.311,109.775,1
07/08/2015,Chennai_SS,42,103060,1.193,59.394,1
07/08/2015,Chennai_SS,41,46360,0.537,25.531,1
07/08/2015,Chennai_SS,40,0,0.000,0.000,0
07/08/2015,Chennai_SS,293,130680,1.512,82.322,2
07/08/2015,Chennai_SS,292,279391,3.234,110.691,6
07/08/2015,Chennai_SS,291,0,0.000,0.000,0
07/08/2015,Chennai_SS,290,197205,2.282,96.621,4
07/08/2015,Chennai_SS,289,198173,2.294,96.412,4
07/08/2015,Chennai_SS,288,131554,1.523,75.630,1
07/08/2015,Chennai_SS,287,241566,2.796,113.883,3
07/08/2015,Chennai_SS,286,278176,3.220,158.143,3
07/08/2015,Chennai_SS,285,62619,0.725,34.649,3
07/08/2015,Chennai_SS,284,197588,2.287,95.982,4
07/08/2015,Chennai_SS,283,407713,4.719,219.309,8
07/08/2015,Chennai_SS,282,339104,3.925,135.454,7
07/08/2015,Chennai_SS,281,196999,2.280,95.995,4
07/08/2015,Chennai_SS,280,0,0.000,0.000,1
07/08/2015,Chennai_SS,253,340609,3.942,135.918,7
07/08/2015,Chennai_SS,252,197267,2.283,96.456,4
07/08/2015,Chennai_SS,251,197204,2.282,96.266,4
07/08/2015,Chennai_SS,250,206482,2.390,127.716,3
07/08/2015,Chennai_SS,249,159941,1.851,83.218,3
07/08/2015,Chennai_SS,248,197331,2.284,120.526,1
07/08/2015,Chennai_SS,247,133432,1.544,82.950,1
07/08/2015,Chennai_SS,246,127928,1.481,60.412,2
07/08/2015,Chennai_SS,245,43893,0.508,24.171,1
07/08/2015,Chennai_SS,244,0,0.000,0.000,1
07/08/2015,Chennai_SS,243,0,0.000,0.000,1
07/08/2015,Chennai_SS,242,0,0.000,0.000,2
07/08/2015,Chennai_SS,241,219911,2.545,86.862,5
07/08/2015,Chennai_SS,240,0,0.000,0.000,1
07/08/2015,Chennai_SS,213,0,0.000,0.000,0
07/08/2015,Chennai_SS,212,78466,0.908,53.533,1
07/08/2015,Chennai_SS,211,301075,3.485,203.383,2
07/08/2015,Chennai_SS,210,236679,2.739,152.455,2
07/08/2015,Chennai_SS,209,75119,0.869,49.931,1
07/08/2015,Chennai_SS,208,120441,1.394,66.105,1
07/08/2015,Chennai_SS,207,174226,2.017,97.877,1
07/08/2015,Chennai_SS,206,220755,2.555,149.558,2
07/08/2015,Chennai_SS,205,120533,1.395,74.287,1
07/08/2015,Chennai_SS,204,113363,1.312,66.921,4
07/08/2015,Chennai_SS,203,614121,7.108,388.277,8
07/08/2015,Chennai_SS,202,482907,5.589,284.015,7
07/08/2015,Chennai_SS,201,32492,0.376,22.692,1
07/08/2015,Chennai_SS,200,0,0.000,0.000,1
07/08/2015,Chennai_SS,173,0,0.000,0.000,0
07/08/2015,Chennai_SS,172,304467,3.524,187.344,3
07/08/2015,Chennai_SS,171,191994,2.222,99.148,2
07/08/2015,Chennai_SS,170,390185,4.516,243.881,3
07/08/2015,Chennai_SS,169,241386,2.794,169.640,2
07/08/2015,Chennai_SS,168,275400,3.188,200.745,2
07/08/2015,Chennai_SS,167,257178,2.977,135.423,2
07/08/2015,Chennai_SS,166,149983,1.736,59.770,2
07/08/2015,Chennai_SS,165,443711,5.136,252.313,5
07/08/2015,Chennai_SS,164,149887,1.735,95.749,2
07/08/2015,Chennai_SS,163,299775,3.470,170.543,2
07/08/2015,Chennai_SS,162,1,0.000,0.000,1
07/08/2015,Chennai_SS,161,0,0.000,0.000,2
07/08/2015,Chennai_SS,160,0,0.000,0.000,2
07/08/2015,Chennai_SS,133,0,0.000,0.000,0
07/08/2015,Chennai_SS,132,202861,2.348,108.765,3
07/08/2015,Chennai_SS,131,189374,2.192,114.846,3
07/08/2015,Chennai_SS,130,109180,1.264,44.677,1
07/08/2015,Chennai_SS,129,209884,2.429,117.775,3
07/08/2015,Chennai_SS,128,0,0.000,0.000,1
07/08/2015,Chennai_SS,127,252174,2.919,161.360,4
07/08/2015,Chennai_SS,126,279747,3.238,111.160,6
07/08/2015,Chennai_SS,125,243976,2.824,150.756,4
07/08/2015,Chennai_SS,124,763817,8.840,332.892,8
07/08/2015,Chennai_SS,123,226930,2.627,168.176,4
07/08/2015,Chennai_SS,122,537254,6.218,354.651,4
07/08/2015,Chennai_SS,121,227383,2.632,136.547,2
07/08/2015,Chennai_SS,120,0,0.000,0.000,1
07/08/2015,Chennai_SS,93,1658,0.019,0.221,5
07/08/2015,Chennai_SS,92,145695,1.686,78.598,2
07/08/2015,Chennai_SS,91,404916,4.687,223.689,4
07/08/2015,Chennai_SS,90,359462,4.160,229.769,4
07/08/2015,Chennai_SS,89,130820,1.514,68.796,1
07/08/2015,Chennai_SS,88,382879,4.431,248.873,7
07/08/2015,Chennai_SS,87,1701,0.020,0.227,5
07/08/2015,Chennai_SS,86,364727,4.221,250.066,6
07/08/2015,Chennai_SS,85,0,0.000,0.000,1
07/08/2015,Chennai_SS,84,455104,5.267,314.054,8
07/08/2015,Chennai_SS,83,319543,3.698,210.685,5
07/08/2015,Chennai_SS,82,2249,0.026,0.418,5
